NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.04969E-02, -3.05903E-02, -3.06675E-02, -3.07281E-02, -3.07716E-02, -3.07975E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.02068E-02, -3.03941E-02, -3.05688E-02, -3.07302E-02, -3.08775E-02, -3.10100E-02, -3.11269E-02, -3.12274E-02, -3.13111E-02, -3.13772E-02, -3.14252E-02, -3.14546E-02, -3.14651E-02, -3.14564E-02, -3.14283E-02, -3.13809E-02, -3.13141E-02, -3.12282E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.01283E-02, -3.03607E-02, -3.05827E-02, -3.07934E-02, -3.09920E-02, -3.11776E-02, -3.13495E-02, -3.15068E-02, -3.16487E-02, -3.17743E-02, -3.18828E-02, -3.19736E-02, -3.20458E-02, -3.20989E-02, -3.21324E-02, -3.21458E-02, -3.21387E-02, -3.21110E-02, -3.20626E-02, -3.19935E-02, -3.19039E-02, -3.17942E-02, -3.16649E-02, -3.15165E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.98988E-02, -3.01710E-02, -3.04350E-02, -3.06899E-02, -3.09351E-02, -3.11696E-02, -3.13925E-02, -3.16031E-02, -3.18004E-02, -3.19836E-02, -3.21516E-02, -3.23036E-02, -3.24387E-02, -3.25560E-02, -3.26547E-02, -3.27339E-02, -3.27929E-02, -3.28311E-02, -3.28479E-02, -3.28430E-02, -3.28161E-02, -3.27669E-02, -3.26957E-02, -3.26025E-02, -3.24877E-02, -3.23519E-02, -3.21956E-02, -3.20197E-02, -3.18250E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.98367E-02, -3.01367E-02, -3.04300E-02, -3.07158E-02, -3.09932E-02, -3.12616E-02, -3.15200E-02, -3.17676E-02, -3.20034E-02, -3.22266E-02, -3.24363E-02, -3.26314E-02, -3.28109E-02, -3.29739E-02, -3.31194E-02, -3.32464E-02, -3.33539E-02, -3.34409E-02, -3.35067E-02, -3.35504E-02, -3.35715E-02, -3.35694E-02, -3.35437E-02, -3.34943E-02, -3.34212E-02, -3.33245E-02, -3.32046E-02, -3.30620E-02, -3.28976E-02, -3.27120E-02, -3.25064E-02, -3.22818E-02, -3.20396E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.00276E-02, -3.03476E-02, -3.06616E-02, -3.09689E-02, -3.12686E-02, -3.15600E-02, -3.18422E-02, -3.21142E-02, -3.23754E-02, -3.26247E-02, -3.28611E-02, -3.30837E-02, -3.32915E-02, -3.34835E-02, -3.36584E-02, -3.38152E-02, -3.39528E-02, -3.40702E-02, -3.41661E-02, -3.42396E-02, -3.42899E-02, -3.43161E-02, -3.43176E-02, -3.42939E-02, -3.42448E-02, -3.41702E-02, -3.40702E-02, -3.39452E-02, -3.37959E-02, -3.36229E-02, -3.34272E-02, -3.32101E-02, -3.29726E-02, -3.27162E-02, -3.24424E-02, -3.21525E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.98468E-02, -3.01907E-02, -3.05302E-02, -3.08646E-02, -3.11929E-02, -3.15145E-02, -3.18284E-02, -3.21339E-02, -3.24302E-02, -3.27163E-02, -3.29914E-02, -3.32545E-02, -3.35048E-02, -3.37410E-02, -3.39623E-02, -3.41674E-02, -3.43552E-02, -3.45244E-02, -3.46738E-02, -3.48022E-02, -3.49082E-02, -3.49908E-02, -3.50488E-02, -3.50812E-02, -3.50873E-02, -3.50665E-02, -3.50184E-02, -3.49428E-02, -3.48399E-02, -3.47100E-02, -3.45537E-02, -3.43720E-02, -3.41659E-02, -3.39365E-02, -3.36854E-02, -3.34141E-02, -3.31241E-02, -3.28171E-02, -3.24949E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.99631E-02, -3.03252E-02, -3.06837E-02, -3.10378E-02, -3.13866E-02, -3.17294E-02, -3.20653E-02, -3.23936E-02, -3.27134E-02, -3.30239E-02, -3.33242E-02, -3.36135E-02, -3.38908E-02, -3.41553E-02, -3.44057E-02, -3.46411E-02, -3.48603E-02, -3.50619E-02, -3.52447E-02, -3.54071E-02, -3.55479E-02, -3.56655E-02, -3.57585E-02, -3.58256E-02, -3.58657E-02, -3.58777E-02, -3.58609E-02, -3.58147E-02, -3.57389E-02, -3.56336E-02, -3.54990E-02, -3.53360E-02, -3.51454E-02, -3.49283E-02, -3.46862E-02, -3.44207E-02, -3.41335E-02, -3.38263E-02, -3.35011E-02, -3.31598E-02, -3.28043E-02, -3.24364E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.00509E-02, -3.04305E-02, -3.08073E-02, -3.11804E-02, -3.15490E-02, -3.19123E-02, -3.22695E-02, -3.26198E-02, -3.29623E-02, -3.32963E-02, -3.36210E-02, -3.39355E-02, -3.42391E-02, -3.45307E-02, -3.48096E-02, -3.50747E-02, -3.53249E-02, -3.55589E-02, -3.57754E-02, -3.59728E-02, -3.61498E-02, -3.63045E-02, -3.64353E-02, -3.65405E-02, -3.66186E-02, -3.66680E-02, -3.66875E-02, -3.66762E-02, -3.66331E-02, -3.65581E-02, -3.64511E-02, -3.63124E-02, -3.61428E-02, -3.59431E-02, -3.57148E-02, -3.54595E-02, -3.51788E-02, -3.48747E-02, -3.45494E-02, -3.42048E-02, -3.38432E-02, -3.34666E-02, -3.30771E-02, -3.26768E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.97120E-02, -3.01096E-02, -3.05060E-02, -3.09003E-02, -3.12918E-02, -3.16795E-02, -3.20626E-02, -3.24403E-02, -3.28117E-02, -3.31760E-02, -3.35325E-02, -3.38803E-02, -3.42188E-02, -3.45472E-02, -3.48648E-02, -3.51707E-02, -3.54641E-02, -3.57440E-02, -3.60094E-02, -3.62590E-02, -3.64913E-02, -3.67048E-02, -3.68978E-02, -3.70683E-02, -3.72143E-02, -3.73338E-02, -3.74250E-02, -3.74859E-02, -3.75149E-02, -3.75109E-02, -3.74727E-02, -3.73998E-02, -3.72921E-02, -3.71499E-02, -3.69740E-02, -3.67654E-02, -3.65256E-02, -3.62564E-02, -3.59598E-02, -3.56380E-02, -3.52934E-02, -3.49282E-02, -3.45449E-02, -3.41459E-02, -3.37336E-02, -3.33100E-02, -3.28774E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.97262E-02, -3.01390E-02, -3.05514E-02, -3.09626E-02, -3.13716E-02, -3.17777E-02, -3.21798E-02, -3.25771E-02, -3.29688E-02, -3.33539E-02, -3.37317E-02, -3.41015E-02, -3.44625E-02, -3.48141E-02, -3.51556E-02, -3.54866E-02, -3.58062E-02, -3.61138E-02, -3.64085E-02, -3.66893E-02, -3.69551E-02, -3.72043E-02, -3.74353E-02, -3.76460E-02, -3.78343E-02, -3.79979E-02, -3.81343E-02, -3.82412E-02, -3.83162E-02, -3.83574E-02, -3.83630E-02, -3.83317E-02, -3.82627E-02, -3.81557E-02, -3.80111E-02, -3.78295E-02, -3.76121E-02, -3.73607E-02, -3.70772E-02, -3.67640E-02, -3.64235E-02, -3.60583E-02, -3.56713E-02, -3.52650E-02, -3.48422E-02, -3.44054E-02, -3.39572E-02, -3.34998E-02, -3.30354E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.97120E-02, -3.01390E-02, -3.05666E-02, -3.09938E-02, -3.14196E-02, -3.18432E-02, -3.22636E-02, -3.26798E-02, -3.30909E-02, -3.34958E-02, -3.38939E-02, -3.42843E-02, -3.46663E-02, -3.50393E-02, -3.54028E-02, -3.57564E-02, -3.60995E-02, -3.64318E-02, -3.67528E-02, -3.70618E-02, -3.73581E-02, -3.76404E-02, -3.79073E-02, -3.81571E-02, -3.83875E-02, -3.85961E-02, -3.87801E-02, -3.89365E-02, -3.90624E-02, -3.91549E-02, -3.92114E-02, -3.92297E-02, -3.92080E-02, -3.91452E-02, -3.90408E-02, -3.88950E-02, -3.87086E-02, -3.84830E-02, -3.82199E-02, -3.79217E-02, -3.75911E-02, -3.72309E-02, -3.68441E-02, -3.64338E-02, -3.60031E-02, -3.55550E-02, -3.50924E-02, -3.46180E-02, -3.41343E-02, -3.36439E-02, -3.31488E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.01096E-02, -3.05514E-02, -3.09938E-02, -3.14356E-02, -3.18760E-02, -3.23139E-02, -3.27482E-02, -3.31779E-02, -3.36019E-02, -3.40193E-02, -3.44292E-02, -3.48308E-02, -3.52235E-02, -3.56068E-02, -3.59804E-02, -3.63440E-02, -3.66976E-02, -3.70409E-02, -3.73738E-02, -3.76961E-02, -3.80071E-02, -3.83060E-02,NA,NA,NA,NA,NA,NA,NA,NA, -4.00724E-02, -4.01072E-02, -4.00986E-02, -4.00450E-02, -3.99457E-02, -3.98006E-02, -3.96107E-02, -3.93774E-02, -3.91028E-02, -3.87897E-02, -3.84411E-02, -3.80602E-02, -3.76505E-02, -3.72156E-02, -3.67590E-02, -3.62840E-02, -3.57939E-02, -3.52917E-02, -3.47803E-02, -3.42623E-02, -3.37401E-02, -3.32158E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.00509E-02, -3.05060E-02, -3.09626E-02, -3.14196E-02, -3.18760E-02, -3.23307E-02, -3.27825E-02, -3.32301E-02, -3.36724E-02, -3.41084E-02, -3.45368E-02, -3.49569E-02, -3.53679E-02, -3.57691E-02, -3.61603E-02, -3.65414E-02, -3.69124E-02, -3.72736E-02, -3.76253E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.09592E-02, -4.08681E-02, -4.07262E-02, -4.05345E-02, -4.02946E-02, -4.00089E-02, -3.96807E-02, -3.93134E-02, -3.89108E-02, -3.84771E-02, -3.80161E-02, -3.75319E-02, -3.70284E-02, -3.65091E-02, -3.59776E-02, -3.54369E-02, -3.48898E-02, -3.43391E-02, -3.37869E-02, -3.32353E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.99631E-02, -3.04305E-02, -3.09003E-02, -3.13716E-02, -3.18432E-02, -3.23139E-02, -3.27825E-02, -3.32475E-02, -3.37076E-02, -3.41615E-02, -3.46080E-02, -3.50458E-02, -3.54740E-02, -3.58918E-02, -3.62987E-02, -3.66946E-02, -3.70796E-02, -3.74541E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.14784E-02, -4.12333E-02, -4.09373E-02, -4.05940E-02, -4.02075E-02, -3.97823E-02, -3.93231E-02, -3.88346E-02, -3.83212E-02, -3.77874E-02, -3.72373E-02, -3.66747E-02, -3.61030E-02, -3.55254E-02, -3.49447E-02, -3.43633E-02, -3.37834E-02, -3.32069E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.98468E-02, -3.03252E-02, -3.08073E-02, -3.12918E-02, -3.17777E-02, -3.22636E-02, -3.27482E-02, -3.32301E-02, -3.37076E-02, -3.41792E-02, -3.46434E-02, -3.50986E-02, -3.55436E-02, -3.59772E-02, -3.63987E-02, -3.68075E-02, -3.72037E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.18868E-02, -4.15285E-02, -4.11224E-02, -4.06737E-02, -4.01877E-02, -3.96700E-02, -3.91258E-02, -3.85600E-02, -3.79772E-02, -3.73818E-02, -3.67774E-02, -3.61677E-02, -3.55556E-02, -3.49437E-02, -3.43344E-02, -3.37296E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.01907E-02, -3.06837E-02, -3.11804E-02, -3.16795E-02, -3.21798E-02, -3.26798E-02, -3.31779E-02, -3.36724E-02, -3.41615E-02, -3.46434E-02, -3.51161E-02, -3.55780E-02, -3.60275E-02, -3.64632E-02, -3.68842E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.24832E-02, -4.20571E-02, -4.15838E-02, -4.10698E-02, -4.05213E-02, -3.99444E-02, -3.93447E-02, -3.87274E-02, -3.80974E-02, -3.74588E-02, -3.68153E-02, -3.61704E-02, -3.55267E-02, -3.48868E-02, -3.42526E-02, -3.36259E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.00276E-02, -3.05302E-02, -3.10378E-02, -3.15490E-02, -3.20626E-02, -3.25771E-02, -3.30909E-02, -3.36019E-02, -3.41084E-02, -3.46080E-02, -3.50986E-02, -3.55780E-02, -3.60441E-02, -3.64948E-02, -3.69286E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.30100E-02, -4.25113E-02, -4.19679E-02, -4.13869E-02, -4.07755E-02, -4.01400E-02, -3.94863E-02, -3.88198E-02, -3.81452E-02, -3.74665E-02, -3.67873E-02, -3.61105E-02, -3.54389E-02, -3.47744E-02, -3.41189E-02, -3.34737E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -2.98367E-02, -3.03476E-02, -3.08646E-02, -3.13866E-02, -3.19123E-02, -3.24403E-02, -3.29688E-02, -3.34958E-02, -3.40193E-02, -3.45368E-02, -3.50458E-02, -3.55436E-02, -3.60275E-02, -3.64948E-02, -3.69431E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.34545E-02, -4.28801E-02, -4.22649E-02, -4.16170E-02, -4.09437E-02, -4.02518E-02, -3.95470E-02, -3.88347E-02, -3.81192E-02, -3.74043E-02, -3.66934E-02, -3.59890E-02, -3.52933E-02, -3.46082E-02, -3.39351E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -3.01367E-02, -3.06616E-02, -3.11929E-02, -3.17294E-02, -3.22695E-02, -3.28117E-02, -3.33539E-02, -3.38939E-02, -3.44292E-02, -3.49569E-02, -3.54740E-02, -3.59772E-02, -3.64632E-02, -3.69286E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.38043E-02, -4.31530E-02, -4.24667E-02, -4.17537E-02, -4.10215E-02, -4.02767E-02, -3.95250E-02, -3.87712E-02, -3.80194E-02, -3.72731E-02, -3.65350E-02, -3.58074E-02, -3.50921E-02, -3.43904E-02, -3.37035E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -2.98988E-02, -3.04300E-02, -3.09689E-02, -3.15145E-02, -3.20653E-02, -3.26198E-02, -3.31760E-02, -3.37317E-02, -3.42843E-02, -3.48308E-02, -3.53679E-02, -3.58918E-02, -3.63987E-02, -3.68842E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.40486E-02, -4.33218E-02, -4.25670E-02, -4.17926E-02, -4.10060E-02, -4.02133E-02, -3.94199E-02, -3.86301E-02, -3.78474E-02, -3.70748E-02, -3.63146E-02, -3.55685E-02, -3.48380E-02, -3.41240E-02,NA,NA,NA,NA,NA,NA,NA,NA,
